,id,session_num,time_clip,time,place,place_raw,scale,scale_order
27,28,null,0:10:34,1900-01-01 00:10:34,Burundi,Burundi,country,6
28,29,null,0:11:10,1900-01-01 00:11:10,Uganda,Uganda,country,6
29,30,null,0:11:19,1900-01-01 00:11:19,Rwanda,Rwanda,country,6
30,31,null,0:11:34,1900-01-01 00:11:34,Uganda,Uganda,country,6
31,32,null,0:14:16,1900-01-01 00:14:16,Canada,Canada,country,6
32,33,null,0:17:07,1900-01-01 00:17:07,Africa,Africa,continent,7
33,34,null,0:17:10,1900-01-01 00:17:10,Rwanda,Rwanda,country,6
34,35,null,0:20:13,1900-01-01 00:20:13,Uganda,Uganda,country,6
35,36,null,0:20:39,1900-01-01 00:20:39,Congo,Congo,country,6
36,37,null,0:23:02,1900-01-01 00:23:02,Burundi,Burundi,country,6
37,38,null,0:23:43,1900-01-01 00:23:43,Burundi,Burundi,country,6
38,39,null,0:24:23,1900-01-01 00:24:23,Burundi,Burundi,country,6
39,40,null,0:24:24,1900-01-01 00:24:24,Rwanda,Rwanda,country,6
40,41,null,0:24:36,1900-01-01 00:24:36,Rwanda,Rwanda,country,6
41,42,null,0:24:49,1900-01-01 00:24:49,"Kigali, Rwanda",Kigali; Rwanda,city / area,4
42,43,null,0:25:14,1900-01-01 00:25:14,Burundi,Burundi,country,6
43,44,null,0:26:28,1900-01-01 00:26:28,"Montreal, Canada",Montreal; Canada,city / area,4
44,45,null,0:26:56,1900-01-01 00:26:56,Rwanda,Rwanda,country,6
45,46,null,0:27:23,1900-01-01 00:27:23,Canada,Canada,country,6
46,47,null,0:28:25,1900-01-01 00:28:25,Canada,Canada,country,6
47,48,null,0:29:07,1900-01-01 00:29:07,Canada,Canada,country,6
48,49,null,0:30:03,1900-01-01 00:30:03,"Quebec, Canada",Quebec; Canada,region,5
49,50,null,0:37:35,1900-01-01 00:37:35,"Quebec, Canada",Quebec; Canada,region,5
50,51,null,0:37:39,1900-01-01 00:37:39,Europe,Europe,continent,7
51,52,null,0:48:33,1900-01-01 00:48:33,"Bujumbura, Burundi",Bujumbura; Burundi,city / area,4
52,53,null,0:48:44,1900-01-01 00:48:44,Burundi,Burundi,country,6
53,54,null,0:55:06,1900-01-01 00:55:06,Burundi,Burundi,country,6
54,55,null,0:57:30,1900-01-01 00:57:30,Burundi,Burundi,country,6
55,56,null,0:58:22,1900-01-01 00:58:22,Rwanda,Rwanda,country,6
56,57,null,0:58:23,1900-01-01 00:58:23,Rwanda,Rwanda,country,6
57,58,null,0:58:25,1900-01-01 00:58:25,Rwanda,Rwanda,country,6
58,59,null,0:58:26,1900-01-01 00:58:26,Burundi,Burundi,country,6
59,60,null,0:58:27,1900-01-01 00:58:27,Burundi,Burundi,country,6
60,61,null,0:58:30,1900-01-01 00:58:30,Rwanda,Rwanda,country,6
61,62,null,0:58:38,1900-01-01 00:58:38,Rwanda,Rwanda,country,6
62,63,null,0:58:44,1900-01-01 00:58:44,Rwanda,Rwanda,country,6
63,64,null,0:58:47,1900-01-01 00:58:47,"Butare, Rwanda",Butare; Rwanda,city / area,4
64,65,null,0:59:03,1900-01-01 00:59:03,Rwanda,Rwanda,country,6
65,66,null,0:59:41,1900-01-01 00:59:41,Burundi,Burundi,country,6
66,67,null,0:59:47,1900-01-01 00:59:47,Burundi,Burundi,country,6
67,68,null,1:01:04,1900-01-01 01:01:04,Iceland,Iceland,country,6
68,69,null,1:01:05,1900-01-01 01:01:05,France,France,country,6
69,70,null,1:01:10,1900-01-01 01:01:10,France,France,country,6
70,71,null,1:01:11,1900-01-01 01:01:11,Italy,Italy,country,6
71,72,null,1:11:52,1900-01-01 01:11:52,"Bujumbura, Burundi",Bujumbura; Burundi,city / area,4
72,73,null,1:11:54,1900-01-01 01:11:54,"Cibitoke, Burundi",Cibitoke; Burundi,city / area,4
73,74,null,1:11:55,1900-01-01 01:11:55,"Rugombo, Burundi",Rugombo; Burundi,city / area,4
74,75,null,1:13:24,1900-01-01 01:13:24,Burundi,Burundi,country,6
75,76,null,1:13:56,1900-01-01 01:13:56,Burundi,Burundi,country,6
76,77,null,1:14:07,1900-01-01 01:14:07,"Quebec, Canada",Quebec; Canada,region,5
77,78,null,1:14:40,1900-01-01 01:14:40,"Montreal, Canada",Montreal; Canada,city / area,4
78,79,null,1:15:54,1900-01-01 01:15:54,"Montreal, Canada",Montreal; Canada,city / area,4
79,80,null,1:15:05,1900-01-01 01:15:05,"Montreal, Canada",Montreal; Canada,city / area,4
80,81,null,1:15:52,1900-01-01 01:15:52,Canada,Canada,country,6
