agg_su_id,id,su_num,place,scale_order,time_start,time_end,time_length,num_minutes,mention_freq,mention_index,mention_places,mention_match_freq,mention_match_index,mention_match_places,mention_match_time_index,mention_first_match_time,mention_first_match_time_ratio,mention_coarser_match_freq,mention_coarser_match_index,mention_coarser_match_places,mention_finer_match_freq,mention_finer_match_index,mention_finer_match_places
124.0,124;125,117.0;118.0,"Quebec, Canada",5,1900-01-01 02:02:17,1900-01-01 02:04:04,"['00', '01', '47']",1.7833333333333334,2,;171;172,";Quebec, Canada;Quebec, Canada",2,;171;172,";Quebec, Canada;Quebec, Canada",;0 days 00:00:34;0 days 00:01:04,0 days 00:00:34,0.3177570093457944,0,,,0,,
126.0,126,119.0,_end,8,1900-01-01 02:04:04,1900-01-01 02:04:18,"['00', '00', '14']",0.23333333333333334,0,,,0,,,,0,0.0,0,,,0,,
127.0,127,120.0,"Montreal, Canada",4,1900-01-01 02:04:18,1900-01-01 02:05:52,"['00', '01', '34']",1.5666666666666667,1,;173,;Haiti,0,,,,0,0.0,0,,,0,,
128.0,128,121.0,_end,8,1900-01-01 02:05:52,1900-01-01 02:05:55,"['00', '00', '03']",0.05,0,,,0,,,,0,0.0,0,,,0,,
129.0,129,122.0,"Quebec, Canada",5,1900-01-01 02:05:55,1900-01-01 02:06:32,"['00', '00', '37']",0.6166666666666667,2,;174;175,";Quebec, Canada;Quebec, Canada",2,;174;175,";Quebec, Canada;Quebec, Canada",;0 days 00:00:05;0 days 00:00:08,0 days 00:00:05,0.13513513513513514,0,,,0,,
130.0,130;131;132;133,123.0;124.0;125.0;126.0,Haiti,6,1900-01-01 02:06:32,1900-01-01 02:09:42,"['00', '03', '10']",3.1666666666666665,13,;176;177;178;179;180;181;182;183;184;185;186;187;188,;Haiti;Haiti;Haiti;Haiti;Haiti;The Antilles;Haiti;Haiti;Haiti;Haiti;Haiti;Haiti;Haiti,12,;176;177;178;179;180;182;183;184;185;186;187;188,;Haiti;Haiti;Haiti;Haiti;Haiti;Haiti;Haiti;Haiti;Haiti;Haiti;Haiti;Haiti,;0 days 00:00:05;0 days 00:00:12;0 days 00:00:46;0 days 00:00:49;0 days 00:01:19;0 days 00:01:27;0 days 00:02:32;0 days 00:02:34;0 days 00:02:48;0 days 00:02:50;0 days 00:02:56;0 days 00:03:06,0 days 00:00:05,0.02631578947368421,0,,,0,,
134.0,134,127.0,"Montreal, Canada",4,1900-01-01 02:09:42,1900-01-01 02:11:03,"['00', '01', '21']",1.35,1,;189,;Haiti,0,,,,0,0.0,0,,,0,,
135.0,135;136,128.0;129.0,Haiti,6,1900-01-01 02:11:03,1900-01-01 02:11:19,"['00', '00', '16']",0.26666666666666666,2,;190;191,;Haiti;Haiti,2,;190;191,;Haiti;Haiti,;0 days 00:00:08;0 days 00:00:14,0 days 00:00:08,0.5,0,,,0,,
137.0,137;138,130.0;131.0,"Paris, France",4,1900-01-01 02:11:19,1900-01-01 02:11:25,"['00', '00', '06']",0.1,1,;192,";Paris, France",1,;192,";Paris, France",;0 days 00:00:02,0 days 00:00:02,0.3333333333333333,0,,,0,,
139.0,139,132.0,_end,8,1900-01-01 02:11:25,1900-01-01 02:11:34,"['00', '00', '09']",0.15,0,,,0,,,,0,0.0,0,,,0,,
